scene,len_ms,start_ms,end_ms,pnum
Truck,31467,94600,126067,2
Portal,31800,137900,169700,2
Fridge,15334,173133,188467,2
Far truck,7900,189633,197533,2
Crate,23700,213400,237100,2
River,15966,240867,256833,2
Road,14600,297100,311700,2
Dogs,220834,328233,549067,2
Water,49200,549067,598267,2
Pigs,32700,622533,655233,2
Truck,19267,58333,77600,4
Portal,30467,92133,122600,4
Fridge,65500,125833,191333,4
Far truck,11700,192033,203733,4
Crate,66067,217500,283567,4
River,353833,287767,641600,4
Road,240367,679100,919467,4
Dogs,126833,934500,1061333,4
Water,31800,1061333,1093133,4
Pigs,32267,1119733,1152000,4
Truck,22533,90033,112566,5
Portal,24933,124300,149233,5
Fridge,14900,152700,167600,5
Far truck,10333,168400,178733,5
Crate,64933,194833,259766,5
River,16400,263433,279833,5
Road,14967,316933,331900,5
Dogs,143700,345800,489500,5
Water,47800,489500,537300,5
Pigs,33234,561866,595100,5
Truck,18166,61967,80133,6
Portal,5466,93467,98933,6
Fridge,11900,128233,140133,6
Far truck,7200,141333,148533,6
Crate,34866,165767,200633,6
River,335767,204700,540467,6
Road,41633,579000,620633,6
Dogs,199000,636933,835933,6
Water,51800,835933,887733,6
Pigs,27567,912033,939600,6
Truck,22367,109300,131667,7
Portal,46167,142733,188900,7
Fridge,16300,192233,208533,7
Far truck,9234,209833,219067,7
Crate,40634,234733,275367,7
River,27400,279200,306600,7
Road,103367,348900,452267,7
Dogs,74833,469200,544033,7
Water,23900,544033,567933,7
Pigs,31800,595300,627100,7
Truck,26166,109700,135866,8
Portal,23400,146700,170100,8
Fridge,36900,173200,210100,8
Far truck,6700,211233,217933,8
Crate,34367,235366,269733,8
River,17466,272700,290166,8
Road,172067,331566,503633,8
Dogs,371067,518266,889333,8
Water,27467,889333,916800,8
Pigs,36433,943333,979766,8
Truck,26700,75300,102000,9
Portal,37400,114000,151400,9
Fridge,149134,154033,303167,9
Far truck,24800,304733,329533,9
Crate,78334,352733,431067,9
River,33634,435333,468967,9
Road,13867,509733,523600,9
Dogs,640866,542367,1183233,9
Water,50867,1183233,1234100,9
Pigs,35600,1260200,1295800,9
Truck,29200,69200,98400,10
Portal,30533,109100,139633,10
Fridge,43067,142966,186033,10
Far truck,31167,187333,218500,10
Crate,121600,235200,356800,10
River,16133,360500,376633,10
Road,46233,419633,465866,10
Dogs,274933,481033,755966,10
Water,38800,755966,794766,10
Pigs,31433,820300,851733,10
Truck,12567,72933,85500,12
Portal,42033,97400,139433,12
Fridge,22067,142666,164733,12
Far truck,7133,165533,172666,12
Crate,68000,187166,255166,12
River,16100,257866,273966,12
Road,356700,318700,675400,12
Dogs,243366,697600,940966,12
Water,33167,940966,974133,12
Pigs,42667,1000733,1043400,12
Truck,17367,54667,72034,13
Portal,61966,82834,144800,13
Fridge,26700,147700,174400,13
Far truck,7867,175400,183267,13
Crate,64300,200367,264667,13
River,48566,267234,315800,13
Road,50467,351900,402367,13
Dogs,126200,428667,554867,13
Water,0,554867,554867,13
Dogs,17034,555900,572934,13
Water,2400,592100,594500,13
Pigs,30800,625800,656600,13
Truck,25133,70734,95867,15
Portal,147100,108067,255167,15
Fridge,14200,260834,275034,15
Far truck,8734,276000,284734,15
Crate,5933,323667,329600,15
Portal,31034,378700,409734,15
Fridge,12934,412900,425834,15
Far truck,6000,427300,433300,15
Crate,13767,450500,464267,15
River,17500,468200,485700,15
Road,14834,532600,547434,15
Dogs,238567,564400,802967,15
Water,48067,802967,851034,15
Pigs,31233,879634,910867,15
Truck,24367,45600,69967,17
Portal,26133,81200,107333,17
Fridge,21100,110700,131800,17
Far truck,8434,132933,141367,17
Crate,31334,154433,185767,17
River,16733,190300,207033,17
Road,14733,244200,258933,17
Dogs,164133,275900,440033,17
Water,17334,440033,457367,17
Pigs,36933,484900,521833,17
Truck,29234,92666,121900,19
Portal,55200,134733,189933,19
Fridge,47667,192666,240333,19
Far truck,10334,241266,251600,19
Crate,63233,267300,330533,19
River,17100,333900,351000,19
Road,14266,388300,402566,19
Dogs,250567,423033,673600,19
Water,43933,673600,717533,19
Pigs,76900,742700,819600,19
Truck,19134,72000,91134,20
Portal,98266,101834,200100,20
Fridge,14134,203100,217234,20
Far truck,9100,221967,231067,20
Crate,28334,254900,283234,20
River,19366,286934,306300,20
Road,14933,346067,361000,20
Dogs,178100,376200,554300,20
Water,49667,554300,603967,20
Pigs,34933,632667,667600,20
Truck,28500,155367,183867,22
Portal,32100,194234,226334,22
Fridge,34867,229167,264034,22
Far truck,9300,265400,274700,22
Crate,64533,293534,358067,22
River,23567,363300,386867,22
Road,166067,427700,593767,22
Dogs,131033,612634,743667,22
Water,28667,743667,772334,22
Pigs,44867,796567,841434,22
Truck,15733,47867,63600,23
Portal,23433,73234,96667,23
Fridge,10967,99867,110834,23
Far truck,7567,115100,122667,23
Crate,17200,158767,175967,23
River,23200,179300,202500,23
Road,98734,239100,337834,23
Dogs,65367,351967,417334,23
Water,35266,417334,452600,23
Pigs,33200,477567,510767,23
